"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 28 12:44:48 GMT 2025","Mon Jul 28 12:44:59 GMT 2025","11209","","","","ProjectTests","UpdateAddedProject","UpdateAddedProject","Verifying an added project has been updated"
"broken","Mon Jul 28 12:44:04 GMT 2025","Mon Jul 28 12:44:36 GMT 2025","32215","","","","MilestoneTests","AddMilestone","AddMilestone","Verifying for adding a milestone with model data"
"broken","Mon Jul 28 12:44:04 GMT 2025","Mon Jul 28 12:44:36 GMT 2025","32213","","","","AuthenticationTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"failed","Mon Jul 28 12:45:00 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","106","","","","ProjectApiTests","AddProjectNegativeAPI","AddProjectNegativeAPI(System.Collections.Generic.Dictionary`2[System.String,System.Object],""{\""error\"":\""Field :name is a required field.\""}"")","Verifying a response with invalid data"
"broken","Mon Jul 28 12:44:48 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","11423","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""UserName"",""Password"")","Check the error messages if username or password are incorrect"
"broken","Mon Jul 28 12:45:00 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","76","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Empty Announcement, Checkboxes = false, Announcement: , IsShowAnnouncement: False, ProjectTypeByValue: 2,IsEnableTestCase: False)","Verifying the addition of a project with test data from the .json file"
"broken","Mon Jul 28 12:45:00 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","77","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Project with a Very Long Name to Test Boundary Conditions in the System, Announcement: This is a very long announcement text that is used to test the boundary conditions for the announcement field in the system. Ensuring that the system can handle long text inputs gracefully without any issues, this announcement is intentionally made verbose. Here is some more text to make it even longer. Testing the system ability to manage large strings is critical. If the system can handle this length without crashing, it can be considered robust. Add even more text to ensure we reach a significant length., IsShowAnnouncement: True, ProjectTypeByValue: 3,IsEnableTestCase: True)","Verifying the addition of a project with test data from the .json file"
"broken","Mon Jul 28 12:45:00 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","41","","","","ProjectApiTests","UpdateAddedProjectAPI","UpdateAddedProjectAPI","Verifying an added project has been updated"
"broken","Mon Jul 28 12:44:48 GMT 2025","Mon Jul 28 12:44:59 GMT 2025","10966","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
"broken","Mon Jul 28 12:44:48 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","11484","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""' OR '1'='1"",""' OR '1'='1"")","Check the error messages if username or password are incorrect"
"broken","Mon Jul 28 12:45:00 GMT 2025","Mon Jul 28 12:45:00 GMT 2025","28","","","","ProjectApiTests","DeleteAddedProjectAPI","DeleteAddedProjectAPI","Verifying an added project has been deleted"
"broken","Mon Jul 28 12:45:00 GMT 2025","Mon Jul 28 12:45:11 GMT 2025","10957","","","","AuthenticationTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"broken","Mon Jul 28 12:44:59 GMT 2025","Mon Jul 28 12:45:10 GMT 2025","11092","","","","AuthenticationTests","Logout","Logout","Check logout"
