"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 02 13:42:45 GMT 2024","Fri Aug 02 13:42:55 GMT 2024","10491","","","","ProjectTests","UpdateAddedProject","UpdateAddedProject","Verifying an added project has been updated"
"passed","Fri Aug 02 13:42:48 GMT 2024","Fri Aug 02 13:42:50 GMT 2024","2337","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""' OR '1'='1"",""' OR '1'='1"")","Check the error messages if username or password are incorrect"
"passed","Fri Aug 02 13:42:34 GMT 2024","Fri Aug 02 13:42:39 GMT 2024","4915","","","","AuthenticationTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"failed","Fri Aug 02 13:42:51 GMT 2024","Fri Aug 02 13:42:51 GMT 2024","167","","","","ProjectApiTests","AddProjectNegativeAPI","AddProjectNegativeAPI(System.Collections.Generic.Dictionary`2[System.String,System.Object],""{\""error\"":\""Field :suite_mode is not a supported enum value (\\\""4\\\"").\""}"")","Verifying a response with invalid data"
"broken","Fri Aug 02 13:42:48 GMT 2024","Fri Aug 02 13:42:57 GMT 2024","8803","","","","AuthenticationTests","Logout","Logout","Check logout"
"passed","Fri Aug 02 13:42:41 GMT 2024","Fri Aug 02 13:42:46 GMT 2024","4465","","","","ProjectTests","CheckMessageInProjectDelConformationWindow","CheckMessageInProjectDelConformationWindow","Verifying the message text in the project deletion confirmation window"
"broken","Fri Aug 02 13:42:52 GMT 2024","Fri Aug 02 13:42:52 GMT 2024","362","","","","ProjectApiTests","UpdateAddedProjectAPI","UpdateAddedProjectAPI","Verifying an added project has been updated"
"broken","Fri Aug 02 13:42:42 GMT 2024","Fri Aug 02 13:42:48 GMT 2024","5704","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
"broken","Fri Aug 02 13:42:51 GMT 2024","Fri Aug 02 13:42:51 GMT 2024","342","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Empty Announcement, Checkboxes = null, Announcement: , IsShowAnnouncement: False, ProjectTypeByValue: 2,IsEnableTestCase: False)","Verifying the addition of a project with test data from the .json file"
"broken","Fri Aug 02 13:42:50 GMT 2024","Fri Aug 02 13:42:50 GMT 2024","161","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Project Full, Announcement: This is a full test project announcement., IsShowAnnouncement: True, ProjectTypeByValue: 1,IsEnableTestCase: True)","Verifying the addition of a project with test data from the .json file"
"broken","Fri Aug 02 13:42:40 GMT 2024","Fri Aug 02 13:42:48 GMT 2024","8205","","","","ProjectTests","CheckMessageAddingProjectWithEmptyName","CheckMessageAddingProjectWithEmptyName","Verifying the error message when trying to create a project with an empty name"
"broken","Fri Aug 02 13:42:34 GMT 2024","Fri Aug 02 13:42:40 GMT 2024","6101","","","","MilestoneTests","AddMilestone","AddMilestone","Verifying for adding a milestone with model data"
"failed","Fri Aug 02 13:42:51 GMT 2024","Fri Aug 02 13:42:51 GMT 2024","186","","","","ProjectApiTests","AddProjectNegativeAPI","AddProjectNegativeAPI(System.Collections.Generic.Dictionary`2[System.String,System.Object],""{\""error\"":\""Field :name is a required field.\""}"")","Verifying a response with invalid data"
"broken","Fri Aug 02 13:42:50 GMT 2024","Fri Aug 02 13:42:51 GMT 2024","175","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Empty Announcement, Checkboxes = false, Announcement: , IsShowAnnouncement: False, ProjectTypeByValue: 2,IsEnableTestCase: False)","Verifying the addition of a project with test data from the .json file"
"broken","Fri Aug 02 13:42:39 GMT 2024","Fri Aug 02 13:42:45 GMT 2024","5677","","","","ProjectTests","CheckExistenceProjectAfterRefusalDeleteIt","CheckExistenceProjectAfterRefusalDeleteIt","Verifying if the project is in the list if you refused to delete it"
"passed","Fri Aug 02 13:42:34 GMT 2024","Fri Aug 02 13:42:39 GMT 2024","4364","","","","AuthenticationTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"broken","Fri Aug 02 13:42:50 GMT 2024","Fri Aug 02 13:42:57 GMT 2024","7275","","","","AuthenticationTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"broken","Fri Aug 02 13:42:51 GMT 2024","Fri Aug 02 13:42:52 GMT 2024","146","","","","ProjectApiTests","DeleteAddedProjectAPI","DeleteAddedProjectAPI","Verifying an added project has been deleted"
"broken","Fri Aug 02 13:42:34 GMT 2024","Fri Aug 02 13:42:42 GMT 2024","8053","","","","ProjectTests","AddProject","AddProject","Verifying for adding a project with model data"
"passed","Fri Aug 02 13:42:46 GMT 2024","Fri Aug 02 13:42:48 GMT 2024","2379","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""UserName"",""Password"")","Check the error messages if username or password are incorrect"
"broken","Fri Aug 02 13:42:39 GMT 2024","Fri Aug 02 13:42:41 GMT 2024","2943","","","","MilestoneTests","DeleteAddedMilestone","DeleteAddedMilestone","Verifying an added milestone has been deleted"
"passed","Fri Aug 02 13:42:48 GMT 2024","Fri Aug 02 13:42:50 GMT 2024","1871","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""<script>alert(1)</script>"",""<script>alert(1)</script>"")","Check the error messages if username or password are incorrect"
