"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 13:43:03 GMT 2024","Thu Jun 27 13:43:07 GMT 2024","3749","","","","ProjectTests","CheckMessageAddingProjectWithEmptyName","CheckMessageAddingProjectWithEmptyName","Verifying the error message when trying to create a project with an empty name"
"passed","Thu Jun 27 13:42:43 GMT 2024","Thu Jun 27 13:43:03 GMT 2024","20278","","","","MilestoneTests","DeleteAddedMilestone","DeleteAddedMilestone","Verifying an added milestone has been deleted"
"passed","Thu Jun 27 13:43:09 GMT 2024","Thu Jun 27 13:43:11 GMT 2024","2100","","","","LoginTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""<script>alert(1)</script>"",""<script>alert(1)</script>"")","Check the error messages if username or password are incorrect"
"passed","Thu Jun 27 13:43:11 GMT 2024","Thu Jun 27 13:43:11 GMT 2024","707","","","","ApiProjectTests","DeleteAddedProjectAPI","DeleteAddedProjectAPI","Verifying an added project has been deleted"
"passed","Thu Jun 27 13:43:04 GMT 2024","Thu Jun 27 13:43:07 GMT 2024","2175","","","","LoginTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"passed","Thu Jun 27 13:43:07 GMT 2024","Thu Jun 27 13:43:07 GMT 2024","453","","","","ApiProjectTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Project Full, Announcement: This is a full test project announcement., IsShowAnnouncement: True, ProjectTypeByValue: 1,IsEnableTestCase: True)","Verifying the addition of a project with test data from the .json file"
"passed","Thu Jun 27 13:43:08 GMT 2024","Thu Jun 27 13:43:08 GMT 2024","458","","","","ApiProjectTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Empty Announcement, Checkboxes = null, Announcement: , IsShowAnnouncement: False, ProjectTypeByValue: 2,IsEnableTestCase: False)","Verifying the addition of a project with test data from the .json file"
"passed","Thu Jun 27 13:43:07 GMT 2024","Thu Jun 27 13:43:08 GMT 2024","1682","","","","LoginTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"passed","Thu Jun 27 13:42:43 GMT 2024","Thu Jun 27 13:43:04 GMT 2024","21495","","","","MilestoneTests","AddMilestone","AddMilestone","Verifying for adding a milestone with model data"
"passed","Thu Jun 27 13:43:07 GMT 2024","Thu Jun 27 13:43:08 GMT 2024","514","","","","ApiProjectTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Empty Announcement, Checkboxes = false, Announcement: , IsShowAnnouncement: False, ProjectTypeByValue: 2,IsEnableTestCase: False)","Verifying the addition of a project with test data from the .json file"
"passed","Thu Jun 27 13:43:08 GMT 2024","Thu Jun 27 13:43:09 GMT 2024","698","","","","ApiProjectTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Project with a Very Long Name to Test Boundary Conditions in the System, Announcement: This is a very long announcement text that is used to test the boundary conditions for the announcement field in the system. Ensuring that the system can handle long text inputs gracefully without any issues, this announcement is intentionally made verbose. Here is some more text to make it even longer. Testing the system ability to manage large strings is critical. If the system can handle this length without crashing, it can be considered robust. Add even more text to ensure we reach a significant length., IsShowAnnouncement: True, ProjectTypeByValue: 3,IsEnableTestCase: True)","Verifying the addition of a project with test data from the .json file"
"passed","Thu Jun 27 13:43:08 GMT 2024","Thu Jun 27 13:43:10 GMT 2024","2077","","","","LoginTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""' OR '1'='1"",""' OR '1'='1"")","Check the error messages if username or password are incorrect"
"passed","Thu Jun 27 13:43:08 GMT 2024","Thu Jun 27 13:43:10 GMT 2024","1980","","","","LoginTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""UserName"",""Password"")","Check the error messages if username or password are incorrect"
"passed","Thu Jun 27 13:43:10 GMT 2024","Thu Jun 27 13:43:11 GMT 2024","231","","","","ApiProjectTests","AddProjectNegativeAPI","AddProjectNegativeAPI(System.Collections.Generic.Dictionary`2[System.String,System.Object],""{\""error\"":\""Field :name is a required field.\""}"")","Verifying a response with invalid data"
