"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 20 12:40:13 GMT 2025","Mon Oct 20 12:40:25 GMT 2025","11826","","","","ProjectTests","AddProject","AddProject","Verifying for adding a project with model data"
"broken","Mon Oct 20 12:40:37 GMT 2025","Mon Oct 20 12:40:48 GMT 2025","11589","","","","AuthenticationTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"broken","Mon Oct 20 12:40:36 GMT 2025","Mon Oct 20 12:40:36 GMT 2025","233","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Project with a Very Long Name to Test Boundary Conditions in the System, Announcement: This is a very long announcement text that is used to test the boundary conditions for the announcement field in the system. Ensuring that the system can handle long text inputs gracefully without any issues, this announcement is intentionally made verbose. Here is some more text to make it even longer. Testing the system ability to manage large strings is critical. If the system can handle this length without crashing, it can be considered robust. Add even more text to ensure we reach a significant length., IsShowAnnouncement: True, ProjectTypeByValue: 3,IsEnableTestCase: True)","Verifying the addition of a project with test data from the .json file"
"broken","Mon Oct 20 12:39:50 GMT 2025","Mon Oct 20 12:40:13 GMT 2025","23421","","","","AuthenticationTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"broken","Mon Oct 20 12:40:25 GMT 2025","Mon Oct 20 12:40:25 GMT 2025","305","","","","ProjectApiTests","AddProjectAPI","AddProjectAPI(Id: , Name: EAntonova Empty Announcement, Checkboxes = false, Announcement: , IsShowAnnouncement: False, ProjectTypeByValue: 2,IsEnableTestCase: False)","Verifying the addition of a project with test data from the .json file"
"broken","Mon Oct 20 12:40:38 GMT 2025","Mon Oct 20 12:40:38 GMT 2025","317","","","","ProjectApiTests","UpdateAddedProjectAPI","UpdateAddedProjectAPI","Verifying an added project has been updated"
"broken","Mon Oct 20 12:39:50 GMT 2025","Mon Oct 20 12:40:13 GMT 2025","23272","","","","MilestoneTests","DeleteAddedMilestone","DeleteAddedMilestone","Verifying an added milestone has been deleted"
"broken","Mon Oct 20 12:40:26 GMT 2025","Mon Oct 20 12:40:37 GMT 2025","11393","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""' OR '1'='1"",""' OR '1'='1"")","Check the error messages if username or password are incorrect"
"broken","Mon Oct 20 12:40:25 GMT 2025","Mon Oct 20 12:40:37 GMT 2025","11405","","","","AuthenticationTests","LoginWithWrongUserNameOrPassword","LoginWithWrongUserNameOrPassword(""UserName"",""Password"")","Check the error messages if username or password are incorrect"
"broken","Mon Oct 20 12:40:13 GMT 2025","Mon Oct 20 12:40:25 GMT 2025","12025","","","","ProjectTests","CheckMessageAddingProjectWithEmptyName","CheckMessageAddingProjectWithEmptyName","Verifying the error message when trying to create a project with an empty name"
